Part Number,Brand,Package,Value,Designator
S4B-PH-K-S(LF)(SN),JST,P=2mm,Conn_01x04_PH,"J3,J2"
S6B-PH-K-S(LF)(SN),JST,P=2mm,Conn_01x06_PH,J6
USB4105-GF-A,GCT,DIP,USB4105-GF-A,J5
PTS810SJM250SMTRLFS,C&K,SMD,3.2mm 2.5mm Round Button 50mA Brick nogging 4.2mm SPST 160gf 16V SMD Tactile Switches ROHS,SW100
RK73H2ATTD1002F,KOA,805,"10kΩ, ±1%, 250mW",R1
RK73H2ATTD4701F,KOA,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,"4.7kΩ, ±1%, 250mW","R10,R9"
RK73H2ATTD2700F,KOA,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,"270Ω, 1%, 0.25W, SMD 1/4W 270 OHM 1%",R8
RK73H2ATTD5101F,KOA,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,"5.1KΩ, 1%, 0.25W, SMD 1/4W 5.1K OHM 1%","R7,R6"
RK73H2ATTD22R0F,KOA,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,"22Ω, :±1%, 250mW","R5,R4"
RK73H2ATTD2201F,KOA,805,"2.2KΩ, ±1%,250mW","R3,R2"
GRM21BR71H104KA01L,muRata,805,"100nF, ±10%, 50V , X7R","C7,C6,C5,C4,C1"
UMK212BJ105KG-T,TAIYO YUDEN,805,"1uF , ±10% , 50V , X5R","C3,C2"
0ZCH0050FF2G,BEL FUSE,Fuse_1210_3225Metric_Pad1.42x2.80mm_HandSolder,500mA,F1
MCP23017T-E/SO,MICROCHIP,SOIC-28-300mil,,U1
ATMEGA32U4-AU,MICROCHIP,44-TQFP,,U2
SN74LV1T125DBVR,TI,SOT-23-5,1 8mA 1.6V~5.5V 8mA 1 SOT-23-5 Buffer/Driver/Transceiver ROHS,U3
SN74HC132NSR,TI,SOP-14_5.3x10.3mm_P1.27mm_round,,U4
TC74HC74AF(F),TOSHIBA,SOP-14_5.3x10.3mm_P1.27mm_round,,U5
1N4148W-7-F,diodes,SOD-123-round,,"D31,D24,D51,D9,D4,D10,D11,D13,D14,D15,D16,D17,D18,D19,D20,D21,D22,D23,D26,D27,D8,D68,D69,D70,D25,D32,D66,D67,D56,D42,D47,D48,D49,D50,D43,D44,D45,D3,D28,D46,D7,D29,D64,D55,D52,D30,D37,D40,D65,D60,D38,D36,D41,D34,D39,D61,D62,D63,D35,D57,D58,D5,D59,D1,D2,D53,D54,D33,D12,D6"
RB161M-20,SHIKUES,SOD-123,"(Vf):450mV@1A , (Vr):20V , (Io):1A",D100
CSTCE16M0V53-R0,muRata,SMD3213-3P,16MHz,X1
